Survived,Pclass,SibSp,Parch,Age_Missing,FamilySize,IsAlone,Fare_Log,FarePerPerson_Log,Age_Log,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_U,AgeGroup_Child,AgeGroup_Teen,AgeGroup_Adult,AgeGroup_Senior,FamilyType_Alone,FamilyType_Small,FamilyType_Large,Pclass_Fare,Pclass_Age
1,2,0,0,0,1,1,3.326797059085905,3.326797059085905,3.5008724754468257,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6.65359411817181,64.28871397013228
0,3,0,0,1,1,1,1.675843439630712,1.675843439630712,3.388017377110765,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.027530318892136,85.82158242365918
1,3,1,1,1,3,0,2.056121736358219,1.1853606681139541,3.388017377110765,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6.168365209074657,85.82158242365918
0,3,0,0,1,1,1,2.9861515243970933,2.9861515243970933,3.388017377110765,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,8.958454573191279,85.82158242365918
0,1,1,1,1,3,0,4.464164069949771,3.38831925789196,3.388017377110765,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4.464164069949771,28.607194141219725
1,1,0,0,0,1,1,4.511824974368672,4.511824974368672,3.5517450531931276,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.511824974368672,33.87412161623643
1,1,1,0,0,2,0,4.462042034282248,3.780367566387587,3.322376955876019,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4.462042034282248,26.72617619263101
0,3,0,0,0,1,1,3.083120246289207,3.083120246289207,3.015045234704727,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,9.24936073886762,58.170039767753195
1,3,1,0,0,2,0,2.8613834040291146,2.223850279653716,3.4451506303657284,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,8.584150212087344,91.0440151575533
0,3,1,0,0,2,0,2.8673646684576615,2.229508896069458,3.2881642412420478,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,8.602094005372985,77.38089550965444
0,1,0,1,0,2,0,4.984359078267908,4.298032745938502,3.676748889244933,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4.984359078267908,38.517708553189166
0,3,0,0,0,1,1,3.290362650531171,3.290362650531171,4.1298786583075495,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,9.871087951593513,183.51113585426452
1,3,1,0,0,2,0,3.4641314914198413,2.8018046258924985,3.4777860309954125,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,10.392394474259524,94.16381025556123
0,1,0,0,0,1,1,4.026231660590941,4.026231660590941,2.955744969929632,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.026231660590941,18.21603275546787
1,1,0,0,0,1,1,5.122767966846247,5.122767966846247,3.1206117733897822,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5.122767966846247,21.66023833437301
0,1,0,0,0,1,1,3.4065629611605655,3.4065629611605655,3.5546949223162843,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3.4065629611605655,33.97714759265407
1,2,1,3,1,5,0,3.6976533506652975,2.1827311645185663,3.388017377110765,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,7.395306701330595,57.21438828243945
0,3,0,0,1,1,1,2.189226007224953,2.189226007224953,3.388017377110765,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6.56767802167486,85.82158242365918
0,2,0,0,0,1,1,3.011142917253423,3.011142917253423,3.297301937179,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6.022285834506846,52.07917182545049
0,2,0,0,0,1,1,3.0533311459333894,3.0533311459333894,3.106064585319454,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.106662291866779,42.66596337751816
0,3,1,0,0,2,0,1.955039775471647,1.3942873320488147,3.4196535950438287,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,5.865119326414941,88.67648237423305
1,1,2,0,0,3,0,4.492403422773293,3.4159316308467726,3.5509494485727693,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4.492403422773293,33.846386638448834
0,2,5,0,0,6,0,2.5530791848910495,1.0900535446642234,3.8278896682263635,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5.106158369782099,89.93086698770387
0,2,0,0,0,1,1,2.1576286827000555,2.1576286827000555,3.4743436196872794,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.315257365400111,62.5532716676259
0,3,1,0,1,2,0,2.6166802483974427,1.9940334242370417,3.388017377110765,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,7.850040745192328,85.82158242365918
0,3,0,0,0,1,1,3.285374922818406,3.285374922818406,3.8112084835128095,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,9.856124768455219,132.6151062304553
1,1,0,0,1,1,1,4.280810297810421,4.280810297810421,3.388017377110765,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4.280810297810421,28.607194141219725
1,3,0,3,0,4,0,3.0693637036081323,1.8135291149228345,3.292910057562694,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,9.208091110824396,77.76327510941783
1,3,0,0,0,1,1,1.9788888941235387,1.9788888941235387,3.868768560118898,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5.936666682370616,140.65015275199076
1,1,2,0,0,3,0,3.036211809441982,2.0292967103630537,1.9161057889807893,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3.036211809441982,5.794447870094313
0,3,0,0,0,1,1,2.869653044454508,2.869653044454508,2.99111274540214,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,8.608959133363523,56.72346752742756
1,1,1,0,0,2,0,5.122767966846247,4.4355626030122,3.7040680257724006,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5.122767966846247,39.61218016877267
1,1,1,6,0,8,0,4.558578453495892,2.5499108827774704,3.2456843326305775,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4.558578453495892,24.67927721598228
