Fare_Log,Pclass_Fare,FarePerPerson_Log,Pclass_Age,Age_Log,Sex_female,Title_Mr,Pclass,FamilySize,Title_Mrs,Parch,SibSp,Title_Miss,Embarked_S,Deck_U,Survived
3.326797059085905,6.65359411817181,3.326797059085905,64.28871397013228,3.5008724754468257,1,0,2,1,0,0,0,1,1,1,1
1.675843439630712,5.027530318892136,1.675843439630712,85.82158242365918,3.388017377110765,1,0,3,1,1,0,0,0,1,1,0
2.056121736358219,6.168365209074657,1.185360668113954,85.82158242365918,3.388017377110765,0,1,3,3,0,1,1,0,1,1,1
2.9861515243970933,8.958454573191279,2.9861515243970933,85.82158242365918,3.388017377110765,1,0,3,1,1,0,0,0,1,1,0
4.464164069949771,4.464164069949771,3.38831925789196,28.607194141219725,3.388017377110765,0,1,1,3,0,1,1,0,1,1,0
4.511824974368672,4.511824974368672,4.511824974368672,33.87412161623643,3.551745053193128,0,1,1,1,0,0,0,0,0,1,1
4.462042034282248,4.462042034282248,3.780367566387587,26.72617619263101,3.322376955876019,1,0,1,2,1,0,1,0,0,1,1
3.083120246289207,9.24936073886762,3.083120246289207,58.1700397677532,3.015045234704727,0,0,3,1,0,0,0,0,1,1,0
2.8613834040291146,8.584150212087344,2.223850279653716,91.0440151575533,3.4451506303657284,0,1,3,2,0,0,1,0,0,1,1
2.867364668457661,8.602094005372985,2.229508896069458,77.38089550965444,3.288164241242048,0,1,3,2,0,0,1,0,1,1,0
4.984359078267908,4.984359078267908,4.298032745938502,38.517708553189166,3.676748889244933,0,1,1,2,0,1,0,0,1,1,0
3.290362650531171,9.871087951593513,3.290362650531171,183.51113585426447,4.1298786583075495,0,1,3,1,0,0,0,0,0,1,0
3.4641314914198413,10.392394474259524,2.8018046258924985,94.16381025556124,3.4777860309954125,0,1,3,2,0,0,1,0,1,0,1
4.026231660590941,4.026231660590941,4.026231660590941,18.21603275546787,2.955744969929632,0,1,1,1,0,0,0,0,0,1,0
5.122767966846247,5.122767966846247,5.122767966846247,21.66023833437301,3.1206117733897822,1,0,1,1,1,0,0,0,1,0,1
3.406562961160565,3.406562961160565,3.406562961160565,33.97714759265407,3.5546949223162843,1,0,1,1,1,0,0,0,1,1,0
3.6976533506652975,7.395306701330595,2.1827311645185663,57.21438828243945,3.388017377110765,0,1,2,5,0,3,1,0,1,0,1
2.189226007224953,6.56767802167486,2.189226007224953,85.82158242365918,3.388017377110765,0,1,3,1,0,0,0,0,1,1,0
3.011142917253423,6.022285834506846,3.011142917253423,52.07917182545049,3.297301937179,0,1,2,1,0,0,0,0,1,1,0
3.0533311459333894,6.106662291866779,3.0533311459333894,42.66596337751816,3.106064585319454,0,1,2,1,0,0,0,0,1,0,0
1.955039775471647,5.865119326414941,1.3942873320488147,88.67648237423305,3.4196535950438287,0,1,3,2,0,0,1,0,0,0,0
4.492403422773293,4.492403422773293,3.4159316308467726,33.846386638448834,3.5509494485727693,0,1,1,3,0,0,2,0,1,1,1
2.553079184891049,5.106158369782099,1.0900535446642234,89.93086698770387,3.827889668226364,0,0,2,6,0,0,5,0,1,1,0
2.1576286827000555,4.315257365400111,2.1576286827000555,62.5532716676259,3.4743436196872794,0,1,2,1,0,0,0,0,1,1,0
2.6166802483974427,7.850040745192328,1.9940334242370417,85.82158242365918,3.388017377110765,0,1,3,2,0,0,1,0,0,1,0
